"Name","Version","License","URL"
"Pygments","2.20.0","BSD-2-Clause","https://pygments.org"
"attrs","26.1.0","MIT","https://www.attrs.org/en/stable/changelog.html"
"aws-cdk-lib","2.170.0","Apache-2.0","https://github.com/aws/aws-cdk"
"aws-cdk.asset-awscli-v1","2.2.282","Apache-2.0","https://github.com/cdklabs/awscdk-asset-awscli#readme"
"aws-cdk.asset-kubectl-v20","2.1.4","Apache-2.0","https://github.com/cdklabs/awscdk-asset-kubectl#readme"
"aws-cdk.asset-node-proxy-agent-v6","2.1.2","Apache-2.0","https://github.com/cdklabs/awscdk-asset-node-proxy-agent#readme"
"aws-cdk.cloud-assembly-schema","38.0.1","Apache-2.0","https://github.com/cdklabs/cloud-assembly-schema"
"boto3","1.43.24","Apache-2.0","https://github.com/boto/boto3"
"botocore","1.43.24","Apache-2.0","https://github.com/boto/botocore"
"cattrs","26.1.0","MIT License","https://catt.rs"
"colorama","0.4.6","BSD License","https://github.com/tartley/colorama"
"constructs","10.6.0","Apache-2.0","https://github.com/aws/constructs"
"iniconfig","2.3.0","MIT","https://github.com/pytest-dev/iniconfig"
"jmespath","1.1.0","MIT License","https://github.com/jmespath/jmespath.py"
"jsii","1.134.0","Apache Software License","https://github.com/aws/jsii"
"packaging","26.2","Apache-2.0 OR BSD-2-Clause","https://github.com/pypa/packaging"
"pluggy","1.6.0","MIT License","UNKNOWN"
"publication","0.0.3","MIT License","https://github.com/glyph/publication"
"pytest","9.0.3","MIT","https://docs.pytest.org/en/latest/"
"python-dateutil","2.9.0.post0","Apache Software License; BSD License","https://github.com/dateutil/dateutil"
"s3transfer","0.18.0","Apache Software License","https://github.com/boto/s3transfer"
"six","1.17.0","MIT License","https://github.com/benjaminp/six"
"typeguard","2.13.3","MIT License","UNKNOWN"
"typing_extensions","4.15.0","PSF-2.0","https://github.com/python/typing_extensions"
"urllib3","2.7.0","MIT","https://github.com/urllib3/urllib3/blob/main/CHANGES.rst"
